"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[simple]] to use",0.0179862380027771,0.11920297145843506,1,1,1,7,"Failed"
"playlists can be generated on the [[fly]] ( which is a bit clunky but [[still]] a [[really]] nice [[bonus]] ) or by using the software , and there are a bevy of eq [[options]]","playlists can be generated on the [[hovers]] ( which is a bit clunky but [[conversely]] a [[admittedly]] nice [[primes]] ) or by using the software , and there are a bevy of eq [[substitute]]",0.01590639352798462,0.34864509105682373,1,1,1,188,"Failed"
"simply , the canon g3 is the [[best]] digital [[camera]] out there today at this [[price]] point","simply , the canon g3 is the [[better]] digital [[cams]] out there today at this [[expense]] point",0.000552833080291748,0.43782347440719604,1,1,1,74,"Failed"
"multimedia [[functions]] are [[enhanced]] by multi slide [[mms]] messages and a [[gallery]] for organizing digital content captured or downloaded with the phone","multimedia [[jobs]] are [[grew]] by multi slide [[sms]] messages and a [[forum]] for organizing digital content captured or downloaded with the phone",0.022977352142333984,0.377540647983551,1,1,1,164,"Failed"
"[[oh]] , and another is the [[cool]] halo light that [[surrounds]] the touch pad , and light 's up when you touch the screen , and how the [[light]] [[glows]] when the zen is connected to the [[computer]]","[[argh]] , and another is the [[cold]] halo light that [[encircling]] the touch pad , and light 's up when you touch the screen , and how the [[lumiere]] [[sparkle]] when the zen is connected to the [[appliance]]",0.00522005558013916,0.5621764659881592,1,0,1,142,"Successful"
"i 'd say that this [[camera]] is [[perfect]]","i 'd say that this [[chambers]] is [[infallible]]",0.00522005558013916,0.18242555856704712,1,1,1,23,"Failed"
"this is the best [[phone]] i have [[seen]]","this is the best [[calling]] i have [[suvs]]",0.005910992622375488,0.10669058561325073,1,1,1,43,"Failed"
"this one has a [[good]] looking","this one has a [[ok]] looking",0.06008666753768921,0.2450850009918213,1,1,1,19,"Failed"
"they [[made]] the other [[end]] of the camera flat so you can put the camera upright on a flat surface if you don 't like to [[take]] the usual horizontal pictures [[using]] the self [[timer]]","they [[delivered]] the other [[fin]] of the camera flat so you can put the camera upright on a flat surface if you don 't like to [[pick]] the usual horizontal pictures [[consumes]] the self [[timed]]",0.02033233642578125,0.5,1,0,1,182,"Successful"
"don 't [[care]] about [[sunlight]] it 's tft","don 't [[compassionate]] about [[soleil]] it 's tft",0.18242555856704712,0.6791787147521973,1,0,1,20,"Successful"
