"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: To honor graduating seniors, the Modern Languages and Literature department hosted a graduation party and annual Journey’s Competition. Teams competed in eight different languages for the Journey’s trophy.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as naturally charming as it needs to be <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: charming and <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as funny nor as charming as it thinks it is <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: viewers are asked so often to suspend belief that were it not for holm 's performance <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: , amari 's film falls short in building the drama of lilia 's journey . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: this deeply affecting film <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: quietly affecting cop drama <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: To honor graduating seniors, the Modern Languages and Literature department hosted a graduation party and annual Journey’s Competition. Teams competed in eight different languages for the Journey’s trophy.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: as naturally charming as it needs to be <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: charming and <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: as funny nor as charming as it thinks it is <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: viewers are asked so often to suspend belief that were it not for holm 's performance <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: , amari 's film falls short in building the drama of lilia 's journey . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: this deeply affecting film <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: quietly affecting cop drama <SPLIT>[[[[Label_7]]]]: positive",0.0031726956367492676,0.0031726956367492676,1,1,1,1,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: brave , uninhibited <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: made but uninvolving <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: , uninhibited <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: is so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: otherwise bleak tale <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: but uninvolving <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: uninhibited <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: shapeless and uninflected <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: brave , uninhibited <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: made but uninvolving <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: , uninhibited <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: is so bleak <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: otherwise bleak tale <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: but uninvolving <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: uninhibited <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: shapeless and uninflected <SPLIT>[[[[Label_7]]]]: negative",0.46879059076309204,0.46879059076309204,0,0,0,1,"Failed"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: with witty dialogue and inventive moments <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its exquisite acting , inventive screenplay <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: new , or inventive , <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: satin rouge is not a new , or inventive , journey , but <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: like mike is a slight and uninventive movie : <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: 's a tribute to the actress , and to her inventive director , <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: of its inventiveness <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: dialogue and inventive moments <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: with witty dialogue and inventive moments <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: its exquisite acting , inventive screenplay <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: new , or inventive , <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: satin rouge is not a new , or inventive , journey , but <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: like mike is a slight and uninventive movie : <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: 's a tribute to the actress , and to her inventive director , <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: of its inventiveness <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: dialogue and inventive moments <SPLIT>[[[[Label_7]]]]: positive",0.03308594226837158,0.03308594226837158,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: 's hard to imagine acting that could be any flatter . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: good action , good acting , good dialogue , good pace , good cinematography <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 's hard to imagine acting that could be any flatter <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: a simply astounding cor-blimey-luv-a-duck cockney accent <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: , `` minority report '' astounds . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: it is notable for its stylistic austerity and forcefulness <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending . <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: 's hard to imagine acting that could be any flatter . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: good action , good acting , good dialogue , good pace , good cinematography <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: 's hard to imagine acting that could be any flatter <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: a simply astounding cor-blimey-luv-a-duck cockney accent <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: , `` minority report '' astounds . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: it is notable for its stylistic austerity and forcefulness <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending . <SPLIT>[[[[Label_7]]]]: positive",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: dying a slow death <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: 's very little <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: slow , painful healing process <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this starts off with a 1950 's doris day feel and it gets very ugly , very fast <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: 's a very very strong `` b + <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with slow pacing <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: fairly slow paced <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: rather slow beginning <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: dying a slow death <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: 's very little <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: slow , painful healing process <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this starts off with a 1950 's doris day feel and it gets very ugly , very fast <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: 's a very very strong `` b + <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with slow pacing <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: fairly slow paced <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: rather slow beginning <SPLIT>[[[[Label_7]]]]: negative",0.02931225299835205,0.02931225299835205,0,0,0,1,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: , but it is a refreshingly forthright one . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: treats ana 's journey with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: is a very good viewing alternative for young women <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: the charm of revolution os is rather the way it introduces you to new , fervently held ideas and fanciful thinkers . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: , but it is a refreshingly forthright one . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: treats ana 's journey with honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: an off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: is a very good viewing alternative for young women <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: the charm of revolution os is rather the way it introduces you to new , fervently held ideas and fanciful thinkers . <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_7]]]]: positive",0.006692826747894287,0.006692826747894287,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: , it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: gorgeous to look at but insufferably tedious and turgid ... <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: an inept , tedious spoof of '70s kung fu pictures <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: , it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: it would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: is tedious though ford and neeson capably hold our interest , but its just not a thrilling movie . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: would be rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: gorgeous to look at but insufferably tedious and turgid ... <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: rendered tedious by avary 's failure to construct a story with even a trace of dramatic interest <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: an inept , tedious spoof of '70s kung fu pictures <SPLIT>[[[[Label_7]]]]: negative",0.07585817575454712,0.07585817575454712,0,0,0,1,"Failed"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: Patrick Fox faces two charges, including criminal harassment, over online communications and publications regarding his ex-wife Desiree Capuano.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: That’s up 70 percent from April last year.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: but it also does the absolute last thing we need hollywood doing to us : <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: Radio Kerry won Local Radio Station of the Year at last year’s ceremony.<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Siemian started 24 games (13-11) for Denver over the last two seasons, but was expendable after the Broncos signed former Vikings QB Case Keenum to a two-year contract last week.<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: Tehran's relations with the six-member, Saudi-dominated Gulf Cooperation Council of Arab states have been strained since Sunni-ruled Saudi Arabia broke off diplomatic relations with the Shiite power Iran last year.<SPLIT><SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: Last year, Pagano promised to fight hard to keep his job and was rewarded with a four-year contract extension.<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: MILWAUKEE — Prosecutors have charged three Milwaukee men in last year's fatal shooting of a 9-year-old girl struck by a bullet as she watched TV.<SPLIT><SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: Patrick Fox faces two charges, including criminal harassment, over online communications and publications regarding his ex-wife Desiree Capuano.<SPLIT><SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: That’s up 70 percent from April last year.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: but it also does the absolute last thing we need hollywood doing to us : <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: Radio Kerry won Local Radio Station of the Year at last year’s ceremony.<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Siemian started 24 games (13-11) for Denver over the last two seasons, but was expendable after the Broncos signed former Vikings QB Case Keenum to a two-year contract last week.<SPLIT><SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: Tehran's relations with the six-member, Saudi-dominated Gulf Cooperation Council of Arab states have been strained since Sunni-ruled Saudi Arabia broke off diplomatic relations with the Shiite power Iran last year.<SPLIT><SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: Last year, Pagano promised to fight hard to keep his job and was rewarded with a four-year contract extension.<SPLIT><SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: MILWAUKEE — Prosecutors have charged three Milwaukee men in last year's fatal shooting of a 9-year-old girl struck by a bullet as she watched TV.<SPLIT><SPLIT>[[[[Label_7]]]]: negative",0.29421496391296387,0.29421496391296387,0,0,0,1,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: what does n't this film have that an impressionable kid could n't stand to hear ? <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: how to suffer ' and if you see this film you 'll know too <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: the type of film about growing up that we do n't see often enough these days : <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: does n't give you enough to feel good about . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: if you have n't seen the film lately , you may be surprised at the variety of tones in spielberg 's work . <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: you need n't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes ' work . <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: what does n't this film have that an impressionable kid could n't stand to hear ? <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: how to suffer ' and if you see this film you 'll know too <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: the type of film about growing up that we do n't see often enough these days : <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: does n't give you enough to feel good about . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: if you have n't seen the film lately , you may be surprised at the variety of tones in spielberg 's work . <SPLIT>[[[[Label_7]]]]: positive",0.037326931953430176,0.037326931953430176,1,1,1,1,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: As an American I found issue with that.<SPLIT><SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: if this is cinema , i pledge allegiance to cagney and lacey . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: quirky characters and an engaging story <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: Where to go, what to get…it’s literally the the most difficult thing I try to decide on. SOOOOO, when I finally decide on what to get please DO NOT take your fork and stick it in my plate!<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: recycled more times than i 'd care to count <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: As an American I found issue with that.<SPLIT><SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: if this is cinema , i pledge allegiance to cagney and lacey . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: quirky characters and an engaging story <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: Where to go, what to get…it’s literally the the most difficult thing I try to decide on. SOOOOO, when I finally decide on what to get please DO NOT take your fork and stick it in my plate!<SPLIT><SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` look at this ! <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: recycled more times than i 'd care to count <SPLIT>[[[[Label_7]]]]: negative",0.16451644897460938,0.16451644897460938,0,0,0,1,"Failed"
