"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[uncomplicated]] to use",0.01590639352798462,0.06754672527313232,1,1,1,7,"Failed"
"playlists can be [[generated]] on the [[fly]] ( which is a bit clunky but [[still]] a [[really]] nice bonus ) or by using the software , and there are a bevy of eq [[options]]","playlists can be [[products]] on the [[flying]] ( which is a bit clunky but [[already]] a [[effectively]] nice bonus ) or by using the software , and there are a bevy of eq [[alternatives]]",0.01590639352798462,0.11920297145843506,1,1,1,117,"Failed"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this price [[point]]","[[barely]] , the canon g3 is the [[better]] digital camera out there today at this price [[kok]]",0.02033233642578125,0.46879059076309204,1,1,1,58,"Failed"
"multimedia functions are [[enhanced]] by multi slide [[mms]] [[messages]] and a gallery for organizing [[digital]] content captured or downloaded with the phone","multimedia functions are [[growth]] by multi slide [[sms]] [[advertisements]] and a gallery for organizing [[electronic]] content captured or downloaded with the phone",0.04208773374557495,0.43782347440719604,1,1,1,137,"Failed"
"[[oh]] , and another is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is [[connected]] to the [[computer]]","[[ahhhh]] , and another is the [[cold]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is [[tying]] to the [[computerized]]",0.012431681156158447,0.5312093496322632,1,0,1,125,"Successful"
"i 'd [[say]] that this camera is [[perfect]]","i 'd [[argued]] that this camera is [[consummate]]",0.01590639352798462,0.13296425342559814,1,1,1,65,"Failed"
"this is the [[best]] phone i [[have]] seen","this is the [[high]] phone i [[am]] seen",0.022977352142333984,0.10669058561325073,1,1,1,48,"Failed"
"this one has a [[good]] looking","this one has a [[appropriate]] looking",0.03308594226837158,0.2018132209777832,1,1,1,19,"Failed"
"they [[made]] the other end of the camera flat [[so]] you can put the camera upright on a flat surface if you don 't like to [[take]] the [[usual]] horizontal pictures [[using]] the self [[timer]]","they [[instituted]] the other end of the camera flat [[yet]] you can put the camera upright on a flat surface if you don 't like to [[adopting]] the [[banal]] horizontal pictures [[employ]] the self [[clocking]]",0.02931225299835205,0.43782347440719604,1,1,1,172,"Failed"
"don 't care about [[sunlight]] it 's tft","don 't care about [[soleil]] it 's tft",0.11920297145843506,0.5621764659881592,1,0,1,10,"Successful"
"other than that , i [[love]] this [[camera]]","other than that , i [[fond]] this [[cameras]]",0.0097084641456604,0.18242555856704712,1,1,1,31,"Failed"
"the macro [[mode]] is [[exceptional]] , the pictures are very clear and you can take the pictures with the lens [[unbelievably]] close the [[subject]]","the macro [[manner]] is [[uncommon]] , the pictures are very clear and you can take the pictures with the lens [[madly]] close the [[issues]]",0.008577525615692139,0.2227001190185547,1,1,1,126,"Failed"
"i do not [[need]] to repeat what 's [[great]] about this phone","i do not [[demanding]] to repeat what 's [[sizeable]] about this phone",0.02931225299835205,0.34864509105682373,1,1,1,67,"Failed"
"the screen is [[very]] [[easy]] to [[read]] and the blue [[light]] is bright enough to read at night , but [[dim]] enough so it does n 't blind you when you stare too long","the screen is [[rather]] [[simpler]] to [[leer]] and the blue [[lamps]] is bright enough to read at night , but [[dismal]] enough so it does n 't blind you when you stare too long",0.012431681156158447,0.10669058561325073,1,1,1,109,"Failed"
"plusses are the easy to [[remove]] battery and the [[terrific]] sound [[produced]] by the nomad","plusses are the easy to [[abolished]] battery and the [[noteworthy]] sound [[drafted]] by the nomad",0.037326931953430176,0.10669058561325073,1,1,1,130,"Failed"
"the camera was a [[marvel]]","the camera was a [[perl]]",0.03308594226837158,0.14804714918136597,1,1,1,8,"Failed"
"the program is [[called]] nomad and [[works]] great for me and [[seems]] to [[cover]] all the features the included windows software does","the program is [[calling]] nomad and [[collaborator]] great for me and [[occurs]] to [[hedging]] all the features the included windows software does",0.02033233642578125,0.14804714918136597,1,1,1,83,"Failed"
"these tasks are faster and [[easier]] than in [[prior]] versions , and i [[found]] the menu to be much more navigable","these tasks are faster and [[easy]] than in [[ante]] versions , and i [[uncovering]] the menu to be much more navigable",0.010986924171447754,0.11920297145843506,1,1,1,81,"Failed"
"the infrared is a [[blessing]] if you have a previous nokia and want to transfer your old phone book to this phone , [[saved]] me hours of re [[entering]] my numbers","the infrared is a [[holiness]] if you have a previous nokia and want to transfer your old phone book to this phone , [[stored]] me hours of re [[inscribe]] my numbers",0.02033233642578125,0.8519527912139893,1,0,1,54,"Successful"
"i can tell [[using]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine","i can tell [[exploit]] the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just fine",0.10669058561325073,0.5,1,0,1,39,"Successful"
