"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[simple]] to use",0.005910992622375488,0.07585817575454712,1,1,1,7,"Failed"
"playlists can be generated on the [[fly]] ( which is a bit clunky but still a [[really]] [[nice]] [[bonus]] ) or by using the software , and there are a bevy of eq [[options]]","playlists can be generated on the [[hovers]] ( which is a bit clunky but still a [[clearly]] [[appetizing]] [[recompense]] ) or by using the software , and there are a bevy of eq [[alternatives]]",0.005910992622375488,0.10669058561325073,1,1,1,128,"Failed"
"simply , the [[canon]] g3 is the [[best]] digital camera out there today at this [[price]] point","simply , the [[gun]] g3 is the [[higher]] digital camera out there today at this [[awards]] point",0.0019267797470092773,0.06008666753768921,1,1,1,67,"Failed"
"multimedia functions are enhanced by multi slide [[mms]] messages and a [[gallery]] for organizing digital content [[captured]] or downloaded with the [[phone]]","multimedia functions are enhanced by multi slide [[sms]] messages and a [[forum]] for organizing digital content [[conquered]] or downloaded with the [[calling]]",0.007577240467071533,0.13296425342559814,1,1,1,96,"Failed"
"[[oh]] , and another is the [[cool]] halo light that surrounds the touch [[pad]] , and light 's up when you [[touch]] the screen , and how the light glows when the zen is [[connected]] to the [[computer]]","[[mhm]] , and another is the [[cold]] halo light that surrounds the touch [[platelet]] , and light 's up when you [[afflicts]] the screen , and how the light glows when the zen is [[bind]] to the [[appliance]]",0.0008041262626647949,0.18242555856704712,1,1,1,169,"Failed"
"i 'd say that this [[camera]] is [[perfect]]","i 'd say that this [[chambers]] is [[infallible]]",0.0028009414672851562,0.09534949064254761,1,1,1,23,"Failed"
"this is the best [[phone]] i have [[seen]]","this is the best [[calling]] i have [[considered]]",0.00522005558013916,0.08509904146194458,1,1,1,43,"Failed"
"this one has a [[good]] looking","this one has a [[ok]] looking",0.02033233642578125,0.18242555856704712,1,1,1,19,"Failed"
"they [[made]] the other [[end]] of the camera flat [[so]] you can put the camera upright on a flat surface if you don 't like to take the [[usual]] horizontal pictures [[using]] the self [[timer]]","they [[effected]] the other [[ceases]] of the camera flat [[consequently]] you can put the camera upright on a flat surface if you don 't like to take the [[frequent]] horizontal pictures [[recourse]] the self [[retardant]]",0.0028009414672851562,0.43782347440719604,1,1,1,224,"Failed"
"don 't [[care]] about [[sunlight]] it 's tft","don 't [[compassionate]] about [[soleil]] it 's tft",0.02033233642578125,0.5621764659881592,1,0,1,20,"Successful"
"other than that , i [[love]] this [[camera]]","other than that , i [[fond]] this [[chambers]]",0.0021827220916748047,0.18242555856704712,1,1,1,31,"Failed"
"the macro mode is exceptional , the [[pictures]] are very [[clear]] and you can take the [[pictures]] with the lens unbelievably close the [[subject]]","the macro mode is exceptional , the [[photo]] are very [[clare]] and you can take the [[portraits]] with the lens unbelievably close the [[issues]]",0.0021827220916748047,0.4073333740234375,1,1,1,100,"Failed"
"i do not [[need]] to repeat what 's [[great]] about this phone","i do not [[demanding]] to repeat what 's [[big]] about this phone",0.008577525615692139,0.09534949064254761,1,1,1,67,"Failed"
"the screen is [[very]] [[easy]] to read and the blue light is bright enough to [[read]] at [[night]] , but dim enough so it does n 't blind you when you [[stare]] too long","the screen is [[altogether]] [[easier]] to read and the blue light is bright enough to [[lira]] at [[interferes]] , but dim enough so it does n 't blind you when you [[smirking]] too long",0.0017006993293762207,0.09534949064254761,1,1,1,140,"Failed"
"plusses are the [[easy]] to remove battery and the terrific [[sound]] produced by the [[nomad]]","plusses are the [[mere]] to remove battery and the terrific [[noise]] produced by the [[travel]]",0.007577240467071533,0.11920297145843506,1,1,1,39,"Failed"
"the camera was a [[marvel]]","the camera was a [[perl]]",0.007577240467071533,0.10669058561325073,1,1,1,8,"Failed"
"the program is called nomad and [[works]] great for me and [[seems]] to cover all the [[features]] the included windows software [[does]]","the program is called nomad and [[cooperates]] great for me and [[noises]] to cover all the [[personages]] the included windows software [[ca]]",0.0097084641456604,0.18242555856704712,1,1,1,78,"Failed"
"these tasks are [[faster]] and easier than in [[prior]] versions , and i [[found]] the menu to be much more navigable","these tasks are [[straightaway]] and easier than in [[ago]] versions , and i [[excavated]] the menu to be much more navigable",0.005910992622375488,0.13296425342559814,1,1,1,71,"Failed"
"the infrared is a blessing if you have a previous nokia and [[want]] to transfer your [[old]] phone [[book]] to this phone , [[saved]] me hours of re entering my [[numbers]]","the infrared is a blessing if you have a previous nokia and [[wantto]] to transfer your [[archaic]] phone [[buch]] to this phone , [[stored]] me hours of re entering my [[amounts]]",0.004070103168487549,0.32082128524780273,1,1,1,130,"Failed"
"i can [[tell]] using the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or [[running]] over it with my car it should be just fine","i can [[declared]] using the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or [[executes]] over it with my car it should be just fine",0.012431681156158447,0.34864509105682373,1,1,1,267,"Failed"
"the digital zoom takes as [[good]] of pictures , as the optical zoom [[does]] !","the digital zoom takes as [[better]] of pictures , as the optical zoom [[wants]] !",0.0031726956367492676,0.11920297145843506,1,1,1,31,"Failed"
"what [[impressed]] me most was the [[sound]]","what [[shock]] me most was the [[noise]]",0.00522005558013916,0.5926665663719177,1,0,1,59,"Successful"
"could be better to be a [[perfect]] camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight","could be better to be a [[irreproachable]] camera ( and some competitors do some of this better ) purple fringing , details in high light area , noise over iso100 , red eyes , ( few ) processing artefact 's , ( few ) loss of some details especially of the hairs of peoples in low light , automatic autofocus , whizzing while video playback , better video compression ( smaller viedo files ) , more manual controls , longer lasting battery , indicator for battery , better protection of the lcd , less weight",0.10669058561325073,0.8175745010375977,1,0,1,65,"Successful"
"it comes with a [[good]] case that [[fits]] it snugly","it comes with a [[alright]] case that [[adapts]] it snugly",0.005910992622375488,0.11920297145843506,1,1,1,38,"Failed"
"yes , the [[picture]] quality and [[features]] which are too numerous to [[mention]] are unmatched for any camera in this price [[range]]","yes , the [[imaging]] quality and [[peculiarity]] which are too numerous to [[say]] are unmatched for any camera in this price [[fluctuates]]",0.0017006993293762207,0.06754672527313232,1,1,1,103,"Failed"
"it 's [[easy]]","it 's [[mere]]",0.0097084641456604,0.2018132209777832,1,1,1,6,"Failed"
"very [[fast]] powerup and great speed when taking multiple [[pictures]]","very [[prematurely]] powerup and great speed when taking multiple [[photos]]",0.00522005558013916,0.07585817575454712,1,1,1,61,"Failed"
"8 battery life is [[excellent]]","8 battery life is [[unpaid]]",0.007577240467071533,0.2227001190185547,1,1,1,49,"Failed"
"everything that i [[have]] listed above , the zen [[has]] , and more","everything that i [[has]] listed above , the zen [[had]] , and more",0.0011695027351379395,0.05340331792831421,1,1,1,39,"Failed"
"it 's easy to install the security on this product but linksys doesn 't [[do]] a good job of explaining why its [[important]]","it 's easy to install the security on this product but linksys doesn 't [[making]] a good job of explaining why its [[huge]]",0.04208773374557495,0.5312093496322632,1,0,1,38,"Successful"
"c i do love audio sync which [[allows]] a one click [[synchronization]] between the player and the [[music]] collection on the [[computer]]","c i do love audio sync which [[assistance]] a one click [[synchronicity]] between the player and the [[concertos]] collection on the [[appliance]]",0.007577240467071533,0.14804714918136597,1,1,1,106,"Failed"
"it has [[fm]] radio [[option]] and i can listen to music anytime","it has [[fps]] radio [[surrogates]] and i can listen to music anytime",0.004070103168487549,0.06754672527313232,1,1,1,44,"Failed"
"it holds [[plenty]] of songs","it holds [[ample]] of songs",0.0097084641456604,0.04742586612701416,1,1,1,7,"Failed"
"the macro mode works [[well]] , although it takes some practice [[since]] the camera doesn 't clearly indicate when it can 't [[focus]]","the macro mode works [[so]] , although it takes some practice [[afterward]] the camera doesn 't clearly indicate when it can 't [[centered]]",0.007577240467071533,0.5,1,0,1,57,"Successful"
"still , i was [[willing]] to overlook those [[things]] as this unit looks sleek and [[has]] a myriad of features !","still , i was [[eager]] to overlook those [[item]] as this unit looks sleek and [[had]] a myriad of features !",0.008577525615692139,0.32082128524780273,1,1,1,101,"Failed"
"there is an open source firmware on the [[net]] which has [[tons]] of extra [[features]]","there is an open source firmware on the [[filet]] which has [[t]] of extra [[idiosyncrasies]]",0.008577525615692139,0.2450850009918213,1,1,1,56,"Failed"
"it has all the [[features]] one would need in a [[cellphone]]","it has all the [[idiosyncrasies]] one would need in a [[handheld]]",0.006692826747894287,0.11920297145843506,1,1,1,72,"Failed"
"i could probably [[use]] a trash can and [[be]] ok at this point , but this pr duct seems to work very [[well]] so [[far]]","i could probably [[employed]] a trash can and [[is]] ok at this point , but this pr duct seems to work very [[bah]] so [[drastically]]",0.007577240467071533,0.46879059076309204,1,1,1,108,"Failed"
