"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: nasty journey <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: , nasty journey <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: that tells stories that work -- is charming , is moving <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the journey is such a mesmerizing one <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: so exaggerated and broad that it comes off as annoying rather than charming . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: mostly it 's a work that , with humor , warmth , and intelligence , captures a life interestingly lived . <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: it 's a charming and often affecting journey . <SPLIT>[[[[Example_0]]]]: makes the journey feel like a party <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: charming , sometimes infuriating <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: nasty journey <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: , nasty journey <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: that tells stories that work -- is charming , is moving <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: the journey is such a mesmerizing one <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: so exaggerated and broad that it comes off as annoying rather than charming . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: mostly it 's a work that , with humor , warmth , and intelligence , captures a life interestingly lived . <SPLIT>[[[[Label_7]]]]: positive",0.0017006993293762207,0.0017006993293762207,1,1,1,1,"Failed"
"[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: is so bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: so bleak <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: otherwise bleak tale <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: a bittersweet drama <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: of quiet desperation <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: a solid , unassuming drama <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: unflinchingly bleak and desperate <SPLIT>[[[[Example_0]]]]: is so bleak <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: so bleak <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unrelenting bleak insistence <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: this unrelenting bleak insistence <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: otherwise bleak tale <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: a bittersweet drama <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: of quiet desperation <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: a solid , unassuming drama <SPLIT>[[[[Label_7]]]]: positive",0.09534949064254761,0.09534949064254761,0,0,0,1,"Failed"
"[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: this exciting new filmmaker has brought to the screen <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: be a breakthrough in filmmaking <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: this exciting new filmmaker <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . <SPLIT>[[[[Example_0]]]]: that shows the promise of digital filmmaking <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: , nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: nolan 's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: steven spielberg has dreamed up such blatant and sickening product placement in a movie . <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: this exciting new filmmaker has brought to the screen <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a filmmaker with a bright future ahead of him <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: be a breakthrough in filmmaking <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: this exciting new filmmaker <SPLIT>[[[[Label_7]]]]: positive",0.008577525615692139,0.008577525615692139,1,1,1,1,"Failed"
"[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: viewing for its courage , ideas , technical proficiency and great acting <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: should be able to appreciate the wonderful cinematography and naturalistic acting <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . <SPLIT>[[[[Example_0]]]]: is an enjoyable big movie primarily because australia is a weirdly beautiful place <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the acting is amateurish , the cinematography is atrocious , <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing . <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: viewing for its courage , ideas , technical proficiency and great acting <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: its exquisite acting , inventive screenplay , mesmerizing music , and <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: should be able to appreciate the wonderful cinematography and naturalistic acting <SPLIT>[[[[Label_7]]]]: positive",0.003593623638153076,0.003593623638153076,1,1,1,1,"Failed"
"[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: rather slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: painfully slow <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: slow <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: very sluggish <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: takes a really long , slow and dreary time <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: rather slow beginning <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: it slow , predictable and not very amusing <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: it 's slow -- very , very slow . <SPLIT>[[[[Example_0]]]]: rather slow <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: 's not too fast and not too slow . <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: painfully slow <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: slow <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: very sluggish <SPLIT>[[[[Label_4]]]]: negative<SPLIT>[[[[Example_5]]]]: takes a really long , slow and dreary time <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: rather slow beginning <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: it slow , predictable and not very amusing <SPLIT>[[[[Label_7]]]]: negative",0.14804714918136597,0.14804714918136597,0,0,0,1,"Failed"
"[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: , fun , curiously adolescent movie <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: this is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: fun , curiously adolescent movie <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . <SPLIT>[[[[Example_0]]]]: rare in the depiction of young women in film <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: honesty that is tragically rare in the depiction of young women in film <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: , fun , curiously adolescent movie <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: this is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men . <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: 's insecure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: fun , curiously adolescent movie <SPLIT>[[[[Label_7]]]]: positive",0.0028009414672851562,0.0028009414672851562,1,1,1,1,"Failed"
"[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: gently tedious in its comedy <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: strange and beautiful film . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a naturally funny film <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a fascinating film <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: a sometimes tedious film . <SPLIT>[[[[Example_0]]]]: a different movie -- sometimes tedious -- <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: gently tedious in its comedy <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: of unfocused , excruciatingly tedious cinema <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: strange and beautiful film . <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: a naturally funny film <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: a fascinating film <SPLIT>[[[[Label_6]]]]: positive<SPLIT>[[[[Example_7]]]]: it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film <SPLIT>[[[[Label_7]]]]: negative",0.06008666753768921,0.06008666753768921,0,0,0,1,"Failed"
"[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: I’m not going to ask the previous president that I served under to show his birth certificate any more than I would ask this president to show his taxes.<SPLIT><SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Be careful of scams. One of the most common tactics is calls from ""IRS agents"" attempting to collect fake tax debts. The IRS has a list of the ""Dirty Dozen"" scams here.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: * Proceeds of refinancing have been used to retire existing debt<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Then a second private hire taxi which arrived at the scene was suspected of being un-taxed.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: or doing last year 's taxes with your ex-wife . <SPLIT>[[[[Example_0]]]]: I’m not going to ask the previous president that I served under to show his birth certificate any more than I would ask this president to show his taxes.<SPLIT><SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: Be careful of scams. One of the most common tactics is calls from ""IRS agents"" attempting to collect fake tax debts. The IRS has a list of the ""Dirty Dozen"" scams here.<SPLIT><SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: like going to a house party and watching the host defend himself against a frothing ex-girlfriend <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: * Proceeds of refinancing have been used to retire existing debt<SPLIT><SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: Then a second private hire taxi which arrived at the scene was suspected of being un-taxed.<SPLIT><SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: had a bad run in the market or a costly divorce , <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: had a bad run in the market or a costly divorce <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . <SPLIT>[[[[Label_7]]]]: negative",0.2450850009918213,0.2450850009918213,0,0,0,1,"Failed"
"[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: has elements of romance , tragedy and even silent-movie comedy <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: is not only a love song to the movies <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the movie sinks into an abyss of clichés , depression and bad alternative music . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: , the film is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny . <SPLIT>[[[[Label_7]]]]: positive","[[[[Sentence]]]]: you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . <SPLIT>[[[[Example_0]]]]: the film is not only a love song to the movies <SPLIT>[[[[Label_0]]]]: positive<SPLIT>[[[[Example_1]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes <SPLIT>[[[[Label_1]]]]: positive<SPLIT>[[[[Example_2]]]]: , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_2]]]]: positive<SPLIT>[[[[Example_3]]]]: the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes . <SPLIT>[[[[Label_3]]]]: positive<SPLIT>[[[[Example_4]]]]: has elements of romance , tragedy and even silent-movie comedy <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: is not only a love song to the movies <SPLIT>[[[[Label_5]]]]: positive<SPLIT>[[[[Example_6]]]]: the movie sinks into an abyss of clichés , depression and bad alternative music . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: , the film is n't nearly as downbeat as it sounds , but strikes a tone that 's alternately melancholic , hopeful and strangely funny . <SPLIT>[[[[Label_7]]]]: positive",0.004609584808349609,0.004609584808349609,1,1,1,1,"Failed"
"[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the most notable observation is how long you 've been sitting still <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: , the improbable `` formula 51 '' is somewhat entertaining <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: formula 51 promises a new kind of high but delivers the same old bad trip . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: makes 98 minutes feel like three hours . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_7]]]]: negative","[[[[Sentence]]]]: in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . <SPLIT>[[[[Example_0]]]]: the most excruciating 86 minutes one <SPLIT>[[[[Label_0]]]]: negative<SPLIT>[[[[Example_1]]]]: most excruciating 86 minutes <SPLIT>[[[[Label_1]]]]: negative<SPLIT>[[[[Example_2]]]]: most excruciating 86 minutes one <SPLIT>[[[[Label_2]]]]: negative<SPLIT>[[[[Example_3]]]]: the most notable observation is how long you 've been sitting still <SPLIT>[[[[Label_3]]]]: negative<SPLIT>[[[[Example_4]]]]: , the improbable `` formula 51 '' is somewhat entertaining <SPLIT>[[[[Label_4]]]]: positive<SPLIT>[[[[Example_5]]]]: formula 51 promises a new kind of high but delivers the same old bad trip . <SPLIT>[[[[Label_5]]]]: negative<SPLIT>[[[[Example_6]]]]: makes 98 minutes feel like three hours . <SPLIT>[[[[Label_6]]]]: negative<SPLIT>[[[[Example_7]]]]: has turned out nearly 21/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing <SPLIT>[[[[Label_7]]]]: negative",0.04742586612701416,0.04742586612701416,0,0,0,1,"Failed"
