"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[easier]] to use",0.2680792212486267,0.31843769550323486,1,1,1,7,"Failed"
"playlists can be generated on the [[fly]] ( which is a bit clunky but still a [[really]] [[nice]] [[bonus]] ) or by using the software , and there are a bevy of eq [[options]]","playlists can be generated on the [[flown]] ( which is a bit clunky but still a [[actually]] [[agreeable]] [[payoff]] ) or by using the software , and there are a bevy of eq [[chance]]",0.24806934595108032,0.31843769550323486,1,1,1,117,"Failed"
"[[simply]] , the canon g3 is the [[best]] digital camera out there today at this [[price]] point","[[barely]] , the canon g3 is the [[allright]] digital camera out there today at this [[expenditures]] point",0.0060617923736572266,0.4566569924354553,1,1,1,75,"Failed"
"multimedia functions are [[enhanced]] by multi slide [[mms]] [[messages]] and a gallery for organizing digital content captured or downloaded with the [[phone]]","multimedia functions are [[grown]] by multi slide [[ems]] [[ads]] and a gallery for organizing digital content captured or downloaded with the [[telefono]]",0.08535248041152954,0.5020325183868408,1,0,1,129,"Successful"
"[[oh]] , and another is the [[cool]] halo [[light]] that surrounds the touch [[pad]] , and light 's up when you touch the screen , and how the light glows when the zen is [[connected]] to the [[computer]]","[[aagh]] , and another is the [[cold]] halo [[lighting]] that surrounds the touch [[tampon]] , and light 's up when you touch the screen , and how the light glows when the zen is [[tying]] to the [[computerised]]",0.011250853538513184,0.743342936038971,1,0,1,151,"Successful"
"i 'd [[say]] that this camera is [[perfect]]","i 'd [[explained]] that this camera is [[blameless]]",0.016265869140625,0.43537193536758423,1,1,1,58,"Failed"
"this is the [[best]] phone i have [[seen]]","this is the [[allright]] phone i have [[watched]]",0.012725114822387695,0.31843769550323486,1,1,1,56,"Failed"
"this one has a [[good]] looking","this one has a [[ok]] looking",0.24806934595108032,0.4566569924354553,1,1,1,19,"Failed"
"they [[made]] the other end of the [[camera]] [[flat]] so you can put the camera upright on a flat surface if you don 't like to take the [[usual]] horizontal pictures using the self timer","they [[performed]] the other end of the [[cams]] [[condo]] so you can put the camera upright on a flat surface if you don 't like to take the [[unremarkable]] horizontal pictures using the self timer",0.14594042301177979,0.5020325183868408,1,0,1,111,"Successful"
"don 't [[care]] about sunlight it 's tft","don 't [[compassionate]] about sunlight it 's tft",0.4151531457901001,0.8540595769882202,1,0,1,14,"Successful"
"other than that , i [[love]] this [[camera]]","other than that , i [[liked]] this [[chamber]]",0.02344977855682373,0.29536235332489014,1,1,1,31,"Failed"
"the macro [[mode]] is [[exceptional]] , the pictures are very clear and you can take the pictures with the lens unbelievably [[close]] the [[subject]]","the macro [[method]] is [[unusual]] , the pictures are very clear and you can take the pictures with the lens unbelievably [[conclusion]] the [[issues]]",0.02076590061187744,0.17816007137298584,1,1,1,110,"Failed"
"i do not need to [[repeat]] what 's [[great]] about this phone","i do not need to [[chanting]] what 's [[gargantuan]] about this phone",0.009945333003997803,0.1614505648612976,1,1,1,84,"Failed"
"the screen is [[very]] [[easy]] to [[read]] and the blue light is bright enough to read at [[night]] , but [[dim]] enough so it does n 't blind you when you stare too long","the screen is [[altogether]] [[mere]] to [[reading]] and the blue light is bright enough to read at [[soir]] , but [[dismal]] enough so it does n 't blind you when you stare too long",0.23794066905975342,0.525866687297821,1,0,1,104,"Successful"
"plusses are the easy to [[remove]] battery and the [[terrific]] sound produced by the [[nomad]]","plusses are the easy to [[delete]] battery and the [[grandiose]] sound produced by the [[traveling]]",0.016265869140625,0.2853524684906006,1,1,1,94,"Failed"
"the camera was a [[marvel]]","the camera was a [[perl]]",0.04272264242172241,0.19606798887252808,1,1,1,8,"Failed"
"the program is [[called]] nomad and [[works]] [[great]] for me and seems to cover all the features the included windows software does","the program is [[titled]] nomad and [[artworks]] [[sizable]] for me and seems to cover all the features the included windows software does",0.23794066905975342,0.33161312341690063,1,1,1,166,"Failed"
"these tasks are [[faster]] and [[easier]] than in prior versions , and i found the [[menu]] to be much more navigable","these tasks are [[soon]] and [[uncomplicated]] than in prior versions , and i found the [[menus]] to be much more navigable",0.2298615574836731,0.2606865167617798,1,1,1,37,"Failed"
"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[saved]] me hours of re entering my numbers","the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , [[redding]] me hours of re entering my numbers",0.026468753814697266,0.5020325183868408,1,0,1,36,"Successful"
"i can tell using the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just [[fine]]","i can tell using the phone that it feels a little flimsier than motorola 's do , but as long as i 'm not planning on dropping the phone or running over it with my car it should be just [[ok]]",0.43537193536758423,0.525866687297821,1,0,1,42,"Successful"
"the digital zoom [[takes]] as [[good]] of pictures , as the optical zoom does !","the digital zoom [[assumes]] as [[advantageous]] of pictures , as the optical zoom does !",0.04806935787200928,0.564628005027771,1,0,1,27,"Successful"
"what [[impressed]] me most was the sound","what [[appalled]] me most was the sound",0.03794068098068237,0.9519307017326355,1,0,1,43,"Successful"
