"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"they 're [[easy]] to use","they 're [[easier]] to use",0.2689414620399475,0.5312093496322632,1,0,1,47,"Successful"
"playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options","playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software , and there are a bevy of eq options",0.5926665663719177,0.5926665663719177,0,0,1,1,"Skipped"
"[[simply]] , the [[canon]] g3 is the best digital camera out there today at this price point","[[or]] , the [[large]] g3 is the best digital camera out there today at this price point",0.05340331792831421,0.5312093496322632,1,0,1,87,"Successful"
"multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone","multimedia functions are enhanced by multi slide mms messages and a gallery for organizing digital content captured or downloaded with the phone",0.6791787147521973,0.6791787147521973,0,0,1,1,"Skipped"
"oh , and another is the [[cool]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer","oh , and another is the [[high]] halo light that surrounds the touch pad , and light 's up when you touch the screen , and how the light glows when the zen is connected to the computer",0.2227001190185547,0.5621764659881592,1,0,1,62,"Successful"
"i 'd say that this camera is [[perfect]]","i 'd say that this camera is [[okay]]",0.037326931953430176,0.5312093496322632,1,0,1,39,"Successful"
"this is the [[best]] phone i have seen","this is the [[biggest]] phone i have seen",0.06754672527313232,0.6791787147521973,1,0,1,47,"Successful"
"this one has a [[good]] looking","this one has a [[bad]] looking",0.29421496391296387,0.957912266254425,1,0,1,49,"Successful"
"they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer","they made the other end of the camera flat so you can put the camera upright on a flat surface if you don 't like to take the usual horizontal pictures using the self timer",0.6791787147521973,0.6791787147521973,0,0,1,1,"Skipped"
"don 't care about [[sunlight]] it 's tft","don 't care about [[daylight]] it 's tft",0.46879059076309204,0.5312093496322632,1,0,1,48,"Successful"
"other than that , i [[love]] this camera","other than that , i [[prefer]] this camera",0.18242555856704712,0.5621764659881592,1,0,1,50,"Successful"
"the [[macro]] mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject","the [[taking]] mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject",0.2450850009918213,0.5312093496322632,1,0,1,59,"Successful"
"i do not need to repeat what 's [[great]] about this phone","i do not need to repeat what 's [[nice]] about this phone",0.377540647983551,0.5,1,0,1,51,"Successful"
"the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n 't blind you when you stare too long","the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n 't blind you when you stare too long",0.5926665663719177,0.5926665663719177,0,0,1,1,"Skipped"
"plusses are the easy to remove battery and the terrific sound produced by the nomad","plusses are the easy to remove battery and the terrific sound produced by the nomad",0.5926665663719177,0.5926665663719177,0,0,1,1,"Skipped"
"the camera was a [[marvel]]","the camera was a [[colossal]]",0.2689414620399475,0.8175745010375977,1,0,1,28,"Successful"
"the program is called nomad and works great for me and seems to cover all the features the included windows software does","the program is called nomad and works great for me and seems to cover all the features the included windows software does",0.6513548493385315,0.6513548493385315,0,0,1,1,"Skipped"
"these tasks are faster and easier than in prior versions , and i found the menu to be much more [[navigable]]","these tasks are faster and easier than in prior versions , and i found the menu to be much more [[involved]]",0.34864509105682373,0.5,1,0,1,35,"Successful"
