"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[manages]] sweetness largely [[without]] [[stickiness]] .","lovingly photographed in the manner of a golden book sprung to life , stuart little 2 [[mɑnages]] sweetness largely [[unless]] [[ѕtickiness]] .",0.06807917356491089,0.5063893795013428,1,0,1,58,"Successful"
"consistently [[clever]] and suspenseful .","consistently [[cleveⲅ]] and suspenseful .",0.04272264242172241,0.10637140274047852,1,1,1,17,"Failed"
"it's [[like]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political activists .","it's [[lіke]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[parnksters]] than political activists .",0.2566570043563843,0.516228973865509,1,0,1,40,"Successful"
"the story gives ample opportunity for large-scale action and suspense , which [[director]] shekhar [[kapur]] supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale action and suspense , which [[direϲtor]] shekhar [[𝒌apur]] supplies with [[tⲅemendous]] skill .",0.08535248041152954,0.34656476974487305,1,1,1,54,"Failed"
"red dragon "" [[never]] cuts corners .","red dragon "" [[nos]] cuts corners .",0.09536236524581909,0.6741332411766052,1,0,1,18,"Successful"
"fresnadillo has [[something]] [[serious]] to say about the ways in which extravagant chance can distort our [[perspective]] and throw us off the path of good [[sense]] .","fresnadillo has [[nada]] [[serіous]] to say about the ways in which extravagant chance can distort our [[perspec𝚝ive]] and throw us off the path of good [[senѕe]] .",0.09536236524581909,0.5060296058654785,1,0,1,76,"Successful"
"[[throws]] in enough clever and unexpected twists to make the formula feel [[fresh]] .","[[begs]] in enough clever and unexpected twists to make the formula feel [[dulce]] .",0.026468753814697266,0.43992042541503906,1,1,1,36,"Failed"
"weighty and ponderous but [[every]] bit as filling as the treat of the title .","weighty and ponderous but [[eveⲅy]] bit as filling as the treat of the title .",0.23537194728851318,0.5298705101013184,1,0,1,20,"Successful"
"a [[real]] [[audience-pleaser]] that will strike a chord with anyone who's ever [[waited]] in a doctor's office , emergency room , hospital bed or insurance [[company]] office .","a [[veritable]] [[audiencе-pleaser]] that will strike a chord with anyone who's ever [[waietd]] in a doctor's office , emergency room , hospital bed or insurance [[ϲompany]] office .",0.1316131353378296,0.34158921241760254,1,1,1,75,"Failed"
"generates an enormous feeling of [[empathy]] for its [[characters]] .","generates an enormous feeling of [[empa𝚝hy]] for its [[cհaracters]] .",0.03367018699645996,0.28410112857818604,1,1,1,38,"Failed"
"exposing the ways we fool ourselves is one hour [[photo's]] real [[strength]] .","exposing the ways we fool ourselves is one hour [[pho𝚝o's]] real [[strеngth]] .",0.14594042301177979,0.3428168296813965,1,1,1,45,"Failed"
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be [[ⲅepelled]] by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.41273510456085205,0.6378160715103149,1,0,1,30,"Successful"
"mostly , [goldbacher] just [[lets]] her complicated [[characters]] be unruly , confusing and , through it all , [[human]] .","mostly , [goldbacher] just [[enabled]] her complicated [[trait]] be unruly , confusing and , through it all , [[huｍan]] .",0.11843770742416382,0.511289656162262,1,0,1,50,"Successful"
". . . [[quite]] [[good]] at providing some good old fashioned spooks .",". . . [[qiute]] [[ɡood]] at providing some good old fashioned spooks .",0.10637140274047852,0.2959509491920471,1,1,1,30,"Failed"
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",0.8385494351387024,0.8385494351387024,0,0,1,1,"Skipped"
"[[scherfig's]] light-hearted profile of emotional desperation is achingly honest and [[delightfully]] cheeky .","[[scheⲅfig's]] light-hearted profile of emotional desperation is achingly honest and [[deligհtfully]] cheeky .",0.03794068098068237,0.1316131353378296,1,1,1,41,"Failed"
"a journey [[spanning]] nearly three decades of [[bittersweet]] camaraderie and [[history]] , in which we [[feel]] that we truly know what makes holly and marina [[tick]] , and our hearts go out to them as both continue to negotiate their [[imperfect]] , love-hate [[relationship]] .","a journey [[spɑnning]] nearly three decades of [[bitterswet]] camaraderie and [[his𝚝ory]] , in which we [[reckon]] that we truly know what makes holly and marina [[canvas]] , and our hearts go out to them as both continue to negotiate their [[iｍperfect]] , love-hate [[re]] [[lationship]] .",0.04806935787200928,0.37891364097595215,1,1,1,126,"Failed"
"the [[wonderfully]] lush [[morvern]] callar is pure [[punk]] existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[answer]] to irvine welsh's book trainspotting .","the [[wonԁerfully]] lush [[morverո]] callar is pure [[dipshit]] existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an [[responding]] to irvine welsh's book trainspotting .",0.10637140274047852,0.5289034843444824,1,0,1,83,"Successful"
"as it [[turns]] out , you can [[go]] home again .","as it [[rotation]] out , you can [[vaya]] home again .",0.06807923316955566,0.2245151400566101,1,1,1,23,"Failed"
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[amounting]] yet another visit .",0.03794068098068237,0.6000000238418579,1,0,1,23,"Successful"
"this kind of hands-on [[storytelling]] is ultimately what makes shanghai ghetto move [[beyond]] a [[good]] , dry , reliable textbook and what [[allows]] it to [[rank]] with its worthy predecessors .","this kind of hands-on [[storyteⅼling]] is ultimately what makes shanghai ghetto move [[afterlife]] a [[alright]] , dry , reliable textbook and what [[alolws]] it to [[ⲅank]] with its worthy predecessors .",0.08535248041152954,0.42532849311828613,1,1,1,84,"Failed"
"making such a tragedy the backdrop to a love story [[risks]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story [[danger]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",0.3361077308654785,0.743342936038971,1,0,1,34,"Successful"
"grown-up quibbles are beside the point here . the little [[girls]] [[understand]] , and mccracken knows that's all that [[matters]] .","grown-up quibbles are beside the point here . the little [[female]] [[unders𝚝and]] , and mccracken knows that's all that [[themes]] .",0.09536236524581909,0.5016300678253174,1,0,1,55,"Successful"
"a [[powerful]] , chilling , and [[affecting]] study of one man's dying fall .","a [[powerfսl]] , chilling , and [[a𝚏fecting]] study of one man's dying fall .",0.11843770742416382,0.2874300479888916,1,1,1,39,"Failed"
"this is a [[fascinating]] [[film]] because there is no clear-cut hero and no all-out [[villain]] .","this is a [[𝚏ascinating]] [[filｍ]] because there is no clear-cut hero and no all-out [[villaiո]] .",0.1614505648612976,0.3620237112045288,1,1,1,50,"Failed"
"a dreadful [[day]] in irish [[history]] is given passionate , if somewhat flawed , treatment .","a dreadful [[today]] in irish [[tale]] is given passionate , if somewhat flawed , treatment .",0.32498830556869507,0.6000000238418579,1,0,1,33,"Successful"
". . . a [[good]] film that must have baffled the folks in the marketing department .",". . . a [[alright]] film that must have baffled the folks in the marketing department .",0.2566570043563843,0.6000000238418579,1,0,1,18,"Successful"
". . . is [[funny]] in the way that makes you ache with sadness ( the way [[chekhov]] is funny ) , profound without ever being [[self-important]] , [[warm]] without ever succumbing to [[sentimentality]] .",". . . is [[droll]] in the way that makes you ache with sadness ( the way [[pushkin]] is funny ) , profound without ever being [[self-importan𝚝]] , [[lukewarm]] without ever succumbing to [[seոtimentality]] .",0.03794068098068237,0.48855799436569214,1,1,1,92,"Failed"
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",0.743342936038971,0.743342936038971,0,0,1,1,"Skipped"
"a [[soul-stirring]] [[documentary]] about the israeli/palestinian conflict as revealed through the [[eyes]] of some children who remain curious about each other against all [[odds]] .","a [[sоul-stirring]] [[literature]] about the israeli/palestinian conflict as revealed through the [[eyеs]] of some children who remain curious about each other against all [[oԁds]] .",0.06068652868270874,0.21027648448944092,1,1,1,66,"Failed"
"what's so striking about jolie's performance is that she [[never]] lets her character become a [[caricature]] -- not [[even]] with that radioactive [[hair]] .","what's so striking about jolie's performance is that she [[neѵer]] lets her character become a [[farce]] -- not [[so]] with that radioactive [[hairdressing]] .",0.09536236524581909,0.5126450061798096,1,0,1,65,"Successful"
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.8218398690223694,0.8218398690223694,0,0,1,1,"Skipped"
"the [[performances]] are [[immaculate]] , with roussillon providing comic relief .","the [[perforｍances]] are [[immacula𝚝e]] , with roussillon providing comic relief .",0.04806935787200928,0.1991041898727417,1,1,1,43,"Failed"
"kinnear . . . gives his [[best]] screen performance with an oddly winning portrayal of one of [[life's]] ultimate [[losers]] .","kinnear . . . gives his [[Ьest]] screen performance with an oddly winning portrayal of one of [[ⅼife's]] ultimate [[cretins]] .",0.07627958059310913,0.23110437393188477,1,1,1,45,"Failed"
"hugh grant , who has a good line in charm , has [[never]] been more [[charming]] than in about a boy .","hugh grant , who has a good line in charm , has [[jamais]] been more [[ϲharming]] than in about a boy .",0.054037392139434814,0.6520351767539978,1,0,1,36,"Successful"
"there's a lot of tooth in roger dodger . but [[what's]] nice is that there's a casual [[intelligence]] that [[permeates]] the [[script]] .","there's a lot of tooth in roger dodger . but [[wat's]] nice is that there's a casual [[inteⅼligence]] that [[permeɑtes]] the [[dashes]] .",0.06068652868270874,0.2006927728652954,1,1,1,69,"Failed"
"[[reminiscent]] of alfred [[hitchcock's]] thrillers , most of the scary parts in 'signs' [[occur]] while waiting for things to happen .","[[resembles]] of alfred [[hitcchock's]] thrillers , most of the scary parts in 'signs' [[appear]] while waiting for things to happen .",0.2566570043563843,0.598173201084137,1,0,1,55,"Successful"
"[[one]] of the [[best]] looking and stylish animated movies in quite a while . . .","[[oոe]] of the [[Ьest]] looking and stylish animated movies in quite a while . . .",0.026468753814697266,0.15488731861114502,1,1,1,28,"Failed"
"its [[use]] of the thriller form to examine the labyrinthine ways in which people's [[lives]] cross and [[change]] , buffeted by events seemingly out of their control , is [[intriguing]] , [[provocative]] stuff .","its [[ue]] of the thriller form to examine the labyrinthine ways in which people's [[ⅼives]] cross and [[cհange]] , buffeted by events seemingly out of their control , is [[iոtriguing]] , [[inflammatory]] stuff .",0.06068652868270874,0.3364941477775574,1,1,1,87,"Failed"
"denver should not get the [[first]] and last look at one of the most triumphant performances of vanessa redgrave's career . it [[deserves]] to be seen [[everywhere]] .","denver should not get the [[frist]] and last look at one of the most triumphant performances of vanessa redgrave's career . it [[deserved]] to be seen [[nowhere]] .",0.07627958059310913,0.784846842288971,1,0,1,59,"Successful"
"you needn't be steeped in '[[50s]] sociology , pop culture or movie lore to [[appreciate]] the emotional depth of haynes' work . [[though]] haynes' style apes films from the period . . . its [[message]] is not rooted in that decade .","you needn't be steeped in '[[Ƽ0s]] sociology , pop culture or movie lore to [[ɑppreciate]] the emotional depth of haynes' work . [[nevertheless]] haynes' style apes films from the period . . . its [[mails]] is not rooted in that decade .",0.04272264242172241,0.5180166959762573,1,0,1,69,"Successful"
